Date,Benchmark
2010-06-08,5571.41
2010-06-09,5602.35
2010-06-10,5680.49
2010-06-11,5705.07
2010-06-14,5775.42
2010-06-15,5799.5
2010-06-16,5806.66
2010-06-17,5839.72
2010-06-18,5818.67
2010-06-21,5899.68
2010-06-22,5872.78
2010-06-23,5887.69
2010-06-24,5878.43
2010-06-25,5869.74
2010-06-28,5954.99
2010-06-29,5894.97
2010-06-30,5944.93
2010-07-01,5898.7
2010-07-02,5894.38
2010-07-05,5890.59
2010-07-06,5936.42
2010-07-07,5899.14
2010-07-08,5953.53
2010-07-09,6003.71
2010-07-12,6022.21
2010-07-13,6044.62
2010-07-14,6028.62
2010-07-15,6014.55
2010-07-16,6044.09
2010-07-19,6042.72
2010-07-20,6023.89
2010-07-21,6056.77
2010-07-22,6097.16
2010-07-23,6090.1
2010-07-26,6055.59
2010-07-27,6070.96
2010-07-28,6051.9
2010-07-29,6047.58
2010-07-30,6027.16
2010-08-02,6092.27
2010-08-03,6109.0
2010-08-04,6130.57
2010-08-05,6119.44
2010-08-06,6114.89
2010-08-09,6168.62
2010-08-10,6139.65
2010-08-11,6109.66
2010-08-12,6122.25
2010-08-13,6164.95
2010-08-16,6135.59
2010-08-17,6141.85
2010-08-18,6199.02
2010-08-19,6241.24
2010-08-20,6238.3
2010-08-23,6273.62
2010-08-24,6232.59
2010-08-25,6174.83
2010-08-26,6189.5
2010-08-27,6133.11
2010-08-30,6142.76
2010-08-31,6115.32
2010-09-01,6205.04
2010-09-02,6215.97
2010-09-03,6233.65
2010-09-06,6328.32
2010-09-07,6353.96
2010-09-08,6369.18
2010-09-09,6398.41
2010-09-13,6497.31
2010-09-14,6518.02
2010-09-15,6562.35
2010-09-16,6512.7
2010-09-17,6583.73
2010-09-20,6656.15
2010-09-21,6650.75
2010-09-22,6628.08
2010-09-23,6604.48
2010-09-24,6662.05
2010-09-27,6694.77
2010-09-28,6697.78
2010-09-29,6651.03
2010-09-30,6649.82
2010-10-01,6776.29
2010-10-04,6804.44
2010-10-05,6814.04
2010-10-06,6873.88
2010-10-07,6822.39
2010-10-08,6795.09
2010-10-11,6838.71
2010-10-12,6788.04
2010-10-13,6915.47
2010-10-14,6865.42
2010-10-15,6749.27
2010-10-18,6753.31
2010-10-19,6717.57
2010-10-20,6678.21
2010-10-21,6803.19
2010-10-22,6780.14
2010-10-25,6818.29
2010-10-26,6796.89
2010-10-27,6736.93
2010-10-28,6704.1
2010-10-29,6718.49
2010-11-01,6827.57
2010-11-02,6838.43
2010-11-03,6879.24
2010-11-04,6987.07
2010-11-05,7022.56
2010-11-08,6991.87
2010-11-09,7024.37
2010-11-10,7007.95
2010-11-11,6917.88
2010-11-12,6773.05
2010-11-15,6814.38
2010-11-16,6670.2
2010-11-18,6675.5
2010-11-19,6554.59
2010-11-22,6671.22
2010-11-23,6590.41
2010-11-24,6512.08
2010-11-25,6409.1
2010-11-26,6320.78
2010-11-29,6400.43
2010-11-30,6461.2
2010-12-01,6589.47
2010-12-02,6643.39
2010-12-03,6588.77
2010-12-06,6577.11
2010-12-07,6545.86
2010-12-08,6451.8
2010-12-09,6268.93
2010-12-10,6369.16
2010-12-13,6439.88
2010-12-14,6498.27
2010-12-15,6432.74
2010-12-16,6479.55
2010-12-20,6478.65
2010-12-21,6535.45
2010-12-22,6525.87
2010-12-23,6517.03
2010-12-24,6542.35
2010-12-27,6526.27
2010-12-28,6525.84
2010-12-29,6588.03
2010-12-30,6630.05
2010-12-31,6679.12
2011-01-03,6714.84
2011-01-04,6701.08
2011-01-05,6628.08
2011-01-06,6576.67
2011-01-07,6422.17
2011-01-10,6267.34
2011-01-11,6252.09
2011-01-12,6366.86
2011-01-13,6272.2
2011-01-14,6173.44
2011-01-17,6155.74
2011-01-18,6216.4
2011-01-19,6196.81
2011-01-20,6215.58
2011-01-21,6209.02
2011-01-24,6257.72
2011-01-25,6204.76
2011-01-27,6103.09
2011-01-28,5986.22
2011-01-31,5982.33
2011-02-01,5884.4
2011-02-02,5898.33
2011-02-03,5989.76
2011-02-04,5868.35
2011-02-07,5858.39
2011-02-08,5755.13
2011-02-09,5650.47
2011-02-10,5631.88
2011-02-11,5735.52
2011-02-14,5905.06
2011-02-15,5930.52
2011-02-16,5939.68
2011-02-17,6005.52
2011-02-18,5904.47
2011-02-21,5955.72
2011-02-22,5901.96
2011-02-23,5868.56
2011-02-24,5682.62
2011-02-25,5717.19
2011-02-28,5744.78
2011-03-01,5940.38
2011-03-03,5952.42
2011-03-04,5956.69
2011-03-07,5879.4
2011-03-08,5939.05
2011-03-09,5957.61
2011-03-10,5927.77
2011-03-11,5876.93
2011-03-14,5953.63
2011-03-15,5865.76
2011-03-16,5935.78
2011-03-17,5882.95
2011-03-18,5818.86
2011-03-21,5806.9
2011-03-22,5857.31
2011-03-23,5920.75
2011-03-24,5965.86
2011-03-25,6083.21
2011-03-28,6117.03
2011-03-29,6159.0
2011-03-30,6226.04
2011-03-31,6264.0
2011-04-01,6282.41
2011-04-04,6373.31
2011-04-05,6394.54
2011-04-06,6388.77
2011-04-07,6400.62
2011-04-08,6342.6
2011-04-11,6286.58
2011-04-13,6404.92
2011-04-15,6336.29
2011-04-18,6240.42
2011-04-19,6252.24
2011-04-20,6357.73
2011-04-21,6380.52
2011-04-25,6376.35
2011-04-26,6371.6
2011-04-27,6348.81
2011-04-28,6297.97
2011-04-29,6250.38
2011-05-02,6194.05
2011-05-03,6056.34
2011-05-04,6024.71
2011-05-05,5948.62
2011-05-06,6043.24
2011-05-09,6048.08
2011-05-10,6040.24
2011-05-11,6070.7
2011-05-12,5995.03
2011-05-13,6057.01
2011-05-16,6010.59
2011-05-17,5956.16
2011-05-18,5928.2
2011-05-19,5923.82
2011-05-20,5979.23
2011-05-23,5879.42
2011-05-24,5891.59
2011-05-25,5851.89
2011-05-26,5903.86
2011-05-27,5978.2
2011-05-30,5994.31
2011-05-31,6090.88
2011-06-01,6124.68
2011-06-02,6080.81
2011-06-03,6047.43
2011-06-06,6057.77
2011-06-07,6090.95
2011-06-08,6069.7
2011-06-09,6063.17
2011-06-10,6032.96
2011-06-13,6035.27
2011-06-14,6057.51
2011-06-15,6006.94
2011-06-16,5956.46
2011-06-17,5920.21
2011-06-20,5791.82
2011-06-21,5798.76
2011-06-22,5787.57
2011-06-23,5818.91
2011-06-24,5969.92
2011-06-27,6034.03
2011-06-28,6054.44
2011-06-29,6108.37
2011-06-30,6150.71
2011-07-01,6149.51
2011-07-04,6188.19
2011-07-05,6171.91
2011-07-06,6169.77
2011-07-07,6269.43
2011-07-08,6198.16
2011-07-11,6155.27
2011-07-12,6068.55
2011-07-13,6135.48
2011-07-14,6160.6
2011-07-15,6146.13
2011-07-18,6139.66
2011-07-19,6180.7
2011-07-20,6125.52
2011-07-21,6095.46
2011-07-22,6189.12
2011-07-25,6235.04
2011-07-26,6135.85
2011-07-27,6117.64
2011-07-28,6055.31
2011-07-29,6026.92
2011-08-01,6049.84
2011-08-02,5985.03
2011-08-03,5939.43
2011-08-04,5874.62
2011-08-05,5750.64
2011-08-08,5655.43
2011-08-09,5597.33
2011-08-10,5699.77
2011-08-11,5675.94
2011-08-12,5616.89
2011-08-16,5562.37
2011-08-17,5564.47
2011-08-18,5445.82
2011-08-19,5352.62
2011-08-22,5413.73
2011-08-23,5468.74
2011-08-24,5413.63
2011-08-25,5359.1
2011-08-26,5252.87
2011-08-29,5424.58
2011-08-30,5508.31
2011-09-02,5553.42
2011-09-05,5543.33
2011-09-06,5584.97
2011-09-07,5657.55
2011-09-08,5682.17
2011-09-09,5592.52
2011-09-12,5473.52
2011-09-13,5468.66
2011-09-14,5529.78
2011-09-15,5593.12
2011-09-16,5604.21
2011-09-19,5559.34
2011-09-20,5656.02
2011-09-21,5666.73
2011-09-22,5453.29
2011-09-23,5395.93
2011-09-26,5344.97
2011-09-27,5475.03
2011-09-28,5444.22
2011-09-29,5495.14
2011-09-30,5431.79
2011-10-03,5329.21
2011-10-04,5247.95
2011-10-05,5218.18
2011-10-07,5343.95
2011-10-10,5431.27
2011-10-11,5436.69
2011-10-12,5555.11
2011-10-13,5541.07
2011-10-14,5585.27
2011-10-17,5575.85
2011-10-18,5493.07
2011-10-19,5589.13
2011-10-20,5541.11
2011-10-21,5496.7
2011-10-24,5526.77
2011-10-25,5602.01
2011-10-26,5626.1
2011-10-28,5777.31
2011-10-31,5758.67
2011-11-01,5697.06
2011-11-02,5698.0
2011-11-03,5709.46
2011-11-04,5739.53
2011-11-08,5742.55
2011-11-09,5666.26
2011-11-11,5603.14
2011-11-14,5567.14
2011-11-15,5461.14
2011-11-16,5418.14
2011-11-17,5321.59
2011-11-18,5286.51
2011-11-21,5162.96
2011-11-22,5193.09
2011-11-23,5083.16
2011-11-24,5141.49
2011-11-25,5113.3
2011-11-28,5246.28
2011-11-29,5197.73
2011-11-30,5207.62
2011-12-01,5299.72
2011-12-02,5413.82
2011-12-05,5407.86
2011-12-07,5425.37
2011-12-08,5306.74
2011-12-09,5234.41
2011-12-12,5125.41
2011-12-13,5147.35
2011-12-14,5105.65
2011-12-15,5083.26
2011-12-16,4984.55
2011-12-19,4924.25
2011-12-20,4842.64
2011-12-21,4975.02
2011-12-22,5020.94
2011-12-23,5001.86
2011-12-26,5061.02
2011-12-27,5028.8
2011-12-28,4979.44
2011-12-29,4929.55
2011-12-30,4916.08
2012-01-02,4922.6
2012-01-03,5057.03
2012-01-04,5049.18
2012-01-05,5050.71
2012-01-06,5050.4
2012-01-07,5054.33
2012-01-09,5059.22
2012-01-10,5174.15
2012-01-11,5201.68
2012-01-12,5190.59
2012-01-13,5231.33
2012-01-16,5239.6
2012-01-17,5330.96
2012-01-18,5306.1
2012-01-19,5374.66
